description,Ouvrier,Categorie,Type categorie,fournisseur,type,date,montant-str,Montant,Etape
شراء النيمرو,,Achat,Divers,,Direct,2026-01-21 22:00:00,5200000.0,"5 200 000,00",Terrain
دفعة لمهندس التخطيط,Ingénieur,,,مهندس التخطيط,Paiment,2026-01-21 22:00:00,5500.0,"5 500,00",Plan
دفعة لمهندس التخطيط,Ingénieur,,,مهندس التخطيط,Paiment,2026-02-04 20:50:00,8000.0,"8 000,00",Plan
اكرافي,,Gravier,Matériau,,Direct,2026-02-26 01:24:00,31842.8,"31 842,80",Fondation
مصوه,Maçon,,,Maçcon,Paiment,2026-02-27 00:33:00,60000.0,"60 000,00",Fondation
زنك | 56 | بكر 20 اصفر - حانوت اهل اسالك بني البطانه,,Divers,Matériau,,Direct,2026-02-27 13:23:00,6000.0,"6 000,00",Fondation
دريكه 12 تركي | دريكه 10 تركي | دريكه 6 ملم | خيل بناكي | رول بناكو | البوت 7 | رول زافو - BINAA,,Fer,Matériau,,Direct,2026-02-28 13:09:00,70400.0,"70 400,00",Fondation
التراب - Abdellahi Cissé,,Sable,Matériau,,Direct,2026-03-02 14:38:00,1300.0,"1 300,00",Fondation
Abdellahi Bedda,,Divers,Matériau,,Direct,2026-03-02 18:14:00,6000.0,"6 000,00",Fondation
الماء - Idoumou Ahmed Lely,,Eau,Matériau,,Direct,2026-03-02 22:03:00,1600.0,"1 600,00",Fondation
مصوه 36212121,Maçon,,,Maçcon,Paiment,2026-03-02 23:41:00,40000.0,"40 000,00",Fondation
اذن بناء 22268622,,Tax,Service,,Direct,2026-03-03 13:21:00,5000.0,"5 000,00",Fondation
الماء - Hamadinou Ena,,Eau,Matériau,,Direct,2026-03-03 13:22:00,2000.0,"2 000,00",Fondation
50000 كاش - اذن بناء,,Tax,Service,,Direct,2026-03-03 13:48:00,5000.0,"5 000,00",Fondation
الماء - Hamadinou Ena,,Eau,Matériau,,Direct,2026-03-03 15:48:00,2000.0,"2 000,00",Fondation
CIMENT 42.5 - BINAA,,Ciment,Matériau,,Direct,2026-03-05 12:35:00,24000.0,"24 000,00",Fondation
500 x 28,,Divers,Matériau,,Direct,2026-03-09 13:31:00,14000.0,"14 000,00",Fondation
"FER 4,5 (qt 10, p 2400) | FER 10 (qt 40, p 3950) | FER 12 (qt 40, p 3800) | CIMENT (qt 800, p 297,1)",,,Matériau,BINAA,Avance,2026-03-09 19:12:00,572000.0,"572 000,00",Fondation
400 x 28,,Divers,Matériau,,Direct,2026-03-11 17:31:00,11200.0,"11 200,00",Fondation
Abdellahi Cissé,,Sable,Matériau,,Direct,2026-03-12 09:39:00,1300.0,"1 300,00",Fondation
Redevance municipale - Commune du Ksar,,Tax,Service,,Direct,2026-03-13 13:55:00,2000.0,"2 000,00",Fondation
"رامبله 20608282
",,رامبله,Matériau,,Direct,2026-03-14 23:38:00,20000.0,"20 000,00",Fondation
باقي حساب رامبله 36212121,,رامبله,Matériau,,Direct,2026-03-17 23:29:00,40000.0,"40 000,00",Fondation
Mohamed Abdoul Jelil,,Point 7,Matériau,,Direct,2026-03-18 11:31:00,300.0,"300,00",Fondation
"10L | غاز Ets. Construction
",,Gaz,Matériau,,Direct,2026-03-19 12:02:00,500.0,"500,00",Fondation
"CIMENT (qt 20, p 300)",,,Matériau,BINAA,Prepayed,2026-03-24 15:21:00,8760.0,"8 760,00",Fondation
"CIMENT (qt 60, p  297,1)",,,Matériau,BINAA,Prepayed,2026-03-24 15:23:00,17850.0,"17 850,00",Fondation
"FER 10 (qt 2, p 3950) | FER 12 (qt 5, p 3800)",,,Matériau,BINAA,Prepayed,2026-03-24 15:23:00,26900.0,"26 900,00",Fondation
Lin - 1500,,Divers,Matériau,,Direct,2026-03-24 16:35:00,25500.0,"25 500,00",Elevation
Mohamed Abdoul Jelil,,Point 7,Matériau,,Direct,2026-03-24 19:39:00,300.0,"300,00",Elevation
مصوه نهاية الاساس 36971452,Maçon,,,Maçcon,Paiment,2026-03-25 17:51:00,20000.0,"20 000,00",Fondation
مصوه 36212121 من فظة élévation. ,Maçon,,,Maçcon,Paiment,2026-03-25 22:52:00,25000.0,"25 000,00",Elevation
"FER 4,5 (qt 2, p 2400)",,,Matériau,BINAA,Prepayed,2026-03-27 18:55:00,4800.0,"4 800,00",Elevation
1000 x 17,,Divers,Matériau,,Direct,2026-03-28 18:02:00,17000.0,"17 000,00",Elevation
Abdellahi Cissé,,Sable,Matériau,,Direct,2026-03-28 19:53:00,1500.0,"1 500,00",Elevation
مصوه 47311238 من فظة élévation,Maçon,,,Maçcon,Paiment,2026-04-02 13:26:00,10000.0,"10 000,00",Elevation
"10L | غاز Ets. Construction
",,Gaz,Matériau,,Direct,2026-04-04 14:12:00,500.0,"500,00",Elevation
الماء Hamadinou Ena,,Eau,Matériau,,Direct,2026-04-06 12:23:00,2000.0,"2 000,00",Elevation
1000 x 17,,Divers,Matériau,,Direct,2026-04-06 19:36:00,17000.0,"17 000,00",Elevation
"CIMENT (qt 80, 297,5 )",,,Matériau,BINAA,Prepayed,2026-04-07 14:19:00,23800.0,"23 800,00",Elevation
"FER 4,5 (qt 5, p 2400) | FER 10 (qt 5, 3950) | FER 12 (qt 5, p 3800)",,,Matériau,BINAA,Prepayed,2026-04-07 14:19:00,50750.0,"50 750,00",Elevation
